Off-Air [ba000000000000000003]
 	 AG Day 	 0.01650 	 ba000000000000003539
 	 The Big Bang Theory 	 0.01203 	 ba000000000020035004
 	 Elizabeth Stanton's Great Big World 	 0.00951 	 ba000000000019706271
 	 Judge Judy 	 0.00776 	 ba000000000013347155
 	 The Daily Buzz 	 0.00705 	 ba000000000003610476
 	 PoliticsNation With Al Sharpton 	 0.00577 	 ba000000000019753658
 	 Saving Private Ryan 	 0.00520 	 ba000000000001241534
 	 It's Always Sunny in Philadelphia 	 0.00497 	 ba000000000008349903
 	 Seinfeld 	 0.00301 	 ba000000000000063360
 	 Magic Mike 	 0.00272 	 ba000000000019960206
 	 American Pickers 	 0.00256 	 ba000000000023074789
 	 American Reunion 	 0.00240 	 ba000000000019388306
 	 The Ed Show 	 0.00232 	 ba000000000010855697
 	 ESPN FC 	 0.00211 	 ba000000000020843302
 	 Law & Order: Criminal Intent 	 0.00139 	 ba000000000007080256
 	 Armageddon 	 0.00108 	 ba000000000000307503
 	 Dinner for Schmucks 	 0.00105 	 ba000000000017392525
 	 Live Free or Die Hard 	 0.00098 	 ba000000000006851802
 	 Taken 2 	 0.00077 	 ba000000000019910771
 	 Diners, Drive-Ins and Dives 	 0.00072 	 ba000000000023024149
The Price Is Right [ba000000000000000101]
 	 The Bold and the Beautiful 	 0.12931 	 ba000000000023162845
 	 The Talk 	 0.11290 	 ba000000000023135821
 	 The Young and the Restless 	 0.11125 	 ba000000000023104521
 	 Let's Make a Deal 	 0.07119 	 ba000000000012313021
 	 CBS This Morning 	 0.05816 	 ba000000000023138796
 	 CBS Evening News With Scott Pelley 	 0.05767 	 ba000000000005869363
 	 Live! With Kelly and Michael 	 0.04618 	 ba000000000023121445
 	 Pit Bulls and Parolees 	 0.04562 	 ba000000000013092635
 	 KCCI 8 News at Noon 	 0.04533 	 ba000000000004283064
 	 The Chew 	 0.04424 	 ba000000000019506855
 	 Dr. Phil 	 0.03671 	 ba000000000023190350
 	 Jeopardy! 	 0.03511 	 ba000000000000000108
 	 NBC Nightly News With Brian Williams 	 0.03189 	 ba000000000004350421
 	 Judge Judy 	 0.03068 	 ba000000000023140083
 	 ABC World News With Diane Sawyer 	 0.03022 	 ba000000000004865561
 	 Family Feud 	 0.02969 	 ba000000000001055967
 	 General Hospital 	 0.02963 	 ba000000000023181854
 	 The Queen Latifah Show 	 0.02719 	 ba000000000023196938
 	 Today 	 0.02672 	 ba000000000023118448
 	 Vertigo 	 0.02457 	 ba000000000000038557
Jeopardy! [ba000000000000000108]
 	 NBC Nightly News With Brian Williams 	 0.11876 	 ba000000000004350421
 	 ABC World News With Diane Sawyer 	 0.08612 	 ba000000000004865561
 	 CBS Evening News With Scott Pelley 	 0.07090 	 ba000000000005869363
 	 The Doctors 	 0.04820 	 ba000000000023196775
 	 SportsNation 	 0.04076 	 ba000000000011373425
 	 ABC5 News at Five 	 0.03947 	 ba000000000005903307
 	 News Channel 8's First News at Five 	 0.03654 	 ba000000000004283071
 	 The Price Is Right 	 0.03511 	 ba000000000000000101
 	 Indiana Prep Zone 	 0.03467 	 ba000000000022636061
 	 Channel 13 Live at 5 	 0.03202 	 ba000000000004275243
 	 The Chew 	 0.03034 	 ba000000000019506855
 	 The Talk 	 0.02775 	 ba000000000023135821
 	 The View 	 0.02714 	 ba000000000000115867
 	 Judge Judy 	 0.02681 	 ba000000000021989515
 	 Family Feud 	 0.02583 	 ba000000000001055967
 	 Matlock 	 0.02240 	 ba000000000000034211
 	 Epic Tech Homes 	 0.02110 	 ba000000000022728132
 	 Monday Night Countdown 	 0.02100 	 ba000000000000939129
 	 Charmed 	 0.02066 	 ba000000000002700941
 	 SportsCenter 	 0.02061 	 ba000000000000988429
Match Game [ba000000000000000118]
 	 Blockbusters 	 0.27848 	 ba000000000000879532
 	 Sale of the Century 	 0.12459 	 ba000000000000750915
 	 Press Your Luck 	 0.09696 	 ba000000000000740425
 	 Chaplet of Divine Mercy 	 0.05947 	 ba000000000002296454
 	 Super Password 	 0.04998 	 ba000000000000757426
 	 Shop 'til You Drop 	 0.04628 	 ba000000000000782129
 	 Dog Eat Dog 	 0.02987 	 ba000000000003487116
 	 The Pyramid 	 0.02845 	 ba000000000020794693
 	 Family Feud 	 0.02651 	 ba000000000001055967
 	 Chain Reaction 	 0.02406 	 ba000000000000780241
 	 Clean Floors in Half the Time 	 0.02304 	 ba000000000023149292
 	 $100,000 Pyramid 	 0.02254 	 ba000000000000782641
 	 $25,000 Pyramid 	 0.02109 	 ba000000000002469511
 	 Catch 21 	 0.02101 	 ba000000000008167185
 	 The Twilight Zone 	 0.02074 	 ba000000000000587802
 	 The Abominable Snowman 	 0.02028 	 ba000000000002860979
 	 Iron Man! 	 0.01768 	 ba000000000021388758
 	 Molto Mario 	 0.01511 	 ba000000000003760075
 	 Reverse Mental Decline 	 0.01327 	 ba000000000020395530
 	 The Soup 	 0.01247 	 ba000000000004200831
Bulletproof [ba000000000000000134]
 	 Run for the Dream: The Gail Devers Story 	 0.22578 	 ba000000000001234923
 	 Magic City 	 0.18641 	 ba000000000022047864
 	 The Take 	 0.08653 	 ba000000000022896171
 	 Getting High 	 0.07548 	 ba000000000019379736
 	 George of the Jungle 2 	 0.06256 	 ba000000000004031087
 	 Steel 	 0.05950 	 ba000000000000161830
 	 Ghosts of Mars 	 0.03712 	 ba000000000019168420
 	 Rudyard Kipling's The Second Jungle Book 	 0.03641 	 ba000000000001239972
 	 Frankenweenie 	 0.03245 	 ba000000000018693981
 	 The Tortured 	 0.02989 	 ba000000000019836372
 	 FoodCrafters 	 0.02691 	 ba000000000018912242
 	 Everyday Exotic 	 0.02394 	 ba000000000019129605
 	 The Jackal 	 0.02301 	 ba000000000000131388
 	 The Human Stain 	 0.02101 	 ba000000000004011033
 	 Cache 	 0.01989 	 ba000000000005216433
 	 Wild Child 	 0.01958 	 ba000000000012723167
 	 Joe and Max 	 0.01855 	 ba000000000003376757
 	 Terminal Velocity 	 0.01678 	 ba000000000000525277
 	 The Three Musketeers 	 0.01579 	 ba000000000000323856
 	 Hard to Kill 	 0.01364 	 ba000000000000058949
Eddie [ba000000000000000140]
 	 Wing Commander 	 0.09153 	 ba000000000001319377
 	 Hiding Out 	 0.07713 	 ba000000000000032015
 	 Darkwolf 	 0.02776 	 ba000000000009806583
 	 Bridge of Dragons 	 0.02355 	 ba000000000001974916
 	 Spy Hard 	 0.02117 	 ba000000000000000244
 	 The Out-of-Towners 	 0.02046 	 ba000000000002113343
 	 Gentle Ben 2---Danger on the Mountain 	 0.01931 	 ba000000000003706635
 	 Stigmata 	 0.01719 	 ba000000000002378311
 	 Two Weeks Notice 	 0.01616 	 ba000000000003826800
 	 Apollo 13 	 0.01594 	 ba000000000000021251
 	 The Lost Weekend 	 0.01385 	 ba000000000000200050
 	 Dharma & Greg 	 0.01381 	 ba000000000002830491
 	 Flight of the Phoenix 	 0.01364 	 ba000000000004447577
 	 Meet the Fockers 	 0.01237 	 ba000000000004448937
 	 The Presence 	 0.01233 	 ba000000000018753507
 	 Chernobyl Diaries 	 0.01098 	 ba000000000020306212
 	 Dias de vinilo 	 0.01078 	 ba000000000020872566
 	 Doctor Dolittle 	 0.01062 	 ba000000000015767656
 	 Streets of Fire 	 0.01047 	 ba000000000001220749
 	 Just Like Heaven 	 0.01045 	 ba000000000005220186
Spy Hard [ba000000000000000244]
 	 Wing Commander 	 0.11666 	 ba000000000001319377
 	 Just Like Heaven 	 0.07669 	 ba000000000005220186
 	 This Means War 	 0.03188 	 ba000000000018793548
 	 Life of Pi 	 0.02772 	 ba000000000018729122
 	 Eddie 	 0.02117 	 ba000000000000000140
 	 Dracula 	 0.01838 	 ba000000000001242476
 	 Comedy Warriors: Healing Through Humor 	 0.01670 	 ba000000000021903809
 	 DUI 	 0.01645 	 ba000000000020676787
 	 In Good Company 	 0.01643 	 ba000000000004450252
 	 Blood of Heroes 	 0.01613 	 ba000000000000063993
 	 Scoop 	 0.01302 	 ba000000000005945483
 	 Rob Dyrdek's Fantasy Factory 	 0.01282 	 ba000000000019415521
 	 Krypto: The Superdog 	 0.01269 	 ba000000000004544077
 	 The Out-of-Towners 	 0.01255 	 ba000000000002113343
 	 Great Expectations 	 0.01239 	 ba000000000000125744
 	 Ali 	 0.01154 	 ba000000000003472939
 	 Laredo 	 0.01081 	 ba000000000000700350
 	 Summer's Moon 	 0.01080 	 ba000000000014795543
 	 Mission: Impossible 	 0.01054 	 ba000000000000000299
 	 Extra Virgin 	 0.01032 	 ba000000000019166248
The Nutty Professor [ba000000000000000247]
 	 Criminal Minds 	 0.16467 	 ba000000000014773477
 	 Next Door With Katie Brown 	 0.02536 	 ba000000000002148246
 	 International Fellowship of Christians and Jews 	 0.02377 	 ba000000000002775750
 	 Roseanne 	 0.02036 	 ba000000000000085477
 	 Easy Outdoor Cleaning 	 0.01807 	 ba000000000022792439
 	 My Generation 	 0.01716 	 ba000000000013375487
 	 A Christmas Kiss 	 0.01567 	 ba000000000020022175
 	 DUI 	 0.01307 	 ba000000000020023234
 	 Shepherd's Chapel 	 0.01283 	 ba000000000000959708
 	 Saved by the Bell 	 0.01230 	 ba000000000000002830
 	 McHale's Navy 	 0.01073 	 ba000000000000138095
 	 The Price Is Right 	 0.01058 	 ba000000000000000101
 	 Carol Burnett 	 0.01018 	 ba000000000020887294
 	 Downright Domestic 	 0.01007 	 ba000000000011373482
 	 Mumford & Sons: The Road to Red Rocks 	 0.00978 	 ba000000000021447844
 	 Nothing in Common 	 0.00966 	 ba000000000000007356
 	 Live Big With Ali Vincent 	 0.00949 	 ba000000000019705410
 	 Morning Blend 	 0.00912 	 ba000000000021176719
 	 Willa's Wild Life 	 0.00902 	 ba000000000008272877
 	 Legend of the Lost 	 0.00877 	 ba000000000001214661
Muppet Treasure Island [ba000000000000000280]
 	 A Kid in King Arthur's Court 	 0.10045 	 ba000000000001233361
 	 Trouble With the Curve 	 0.05598 	 ba000000000020255249
 	 King Ralph 	 0.04117 	 ba000000000000515965
 	 The Money Pit 	 0.02203 	 ba000000000001208477
 	 Dark Shadows 	 0.01803 	 ba000000000019429390
 	 Spanglish 	 0.01676 	 ba000000000004447704
 	 The Legend of Bagger Vance 	 0.01613 	 ba000000000002996935
 	 Alexander 	 0.01600 	 ba000000000004798387
 	 Operation Dumbo Drop 	 0.01594 	 ba000000000000016012
 	 Meet the Fockers 	 0.01360 	 ba000000000004448937
 	 The Three Stooges 	 0.01319 	 ba000000000009017441
 	 James Rosenquist: A YoungArts Masterclass 	 0.01102 	 ba000000000021956969
 	 Sixteen Candles 	 0.01085 	 ba000000000000069775
 	 Dreamer: Inspired by a True Story 	 0.01008 	 ba000000000005391107
 	 Buffy the Vampire Slayer 	 0.00983 	 ba000000000000426199
 	 Dr. Dolittle 3 	 0.00956 	 ba000000000005390925
 	 The Abominable Snowman 	 0.00942 	 ba000000000002860979
 	 Madagascar 3: Europe's Most Wanted 	 0.00894 	 ba000000000011500115
 	 Cocktail 	 0.00813 	 ba000000000000051931
 	 Ice Age: Continental Drift 	 0.00811 	 ba000000000019980758
Mission: Impossible [ba000000000000000299]
 	 City of Ghosts 	 0.26226 	 ba000000000003977036
 	 Notes on a Scandal 	 0.10052 	 ba000000000006208111
 	 Snow White and the Huntsman 	 0.06803 	 ba000000000018679372
 	 Meet Joe Black 	 0.05313 	 ba000000000000516839
 	 Flight of the Phoenix 	 0.04363 	 ba000000000004447577
 	 Big Momma's House 2 	 0.04189 	 ba000000000005319112
 	 The Terminator 	 0.02747 	 ba000000000000062991
 	 Philly Kid 	 0.02491 	 ba000000000019937145
 	 Kingdom of Heaven 	 0.02464 	 ba000000000004745167
 	 Ted 	 0.02093 	 ba000000000019980794
 	 Madagascar 3: Europe's Most Wanted 	 0.02044 	 ba000000000011500115
 	 Anna Karenina 	 0.01979 	 ba000000000020524827
 	 Hotel Erotica Cabo 	 0.01768 	 ba000000000005153328
 	 Contraband 	 0.01753 	 ba000000000019867362
 	 Bridge of Dragons 	 0.01720 	 ba000000000001974916
 	 Snitch 	 0.01503 	 ba000000000021047554
 	 Superman II 	 0.01468 	 ba000000000000250274
 	 Alexander 	 0.01441 	 ba000000000004798387
 	 The Island 	 0.01410 	 ba000000000005088361
